channelId,title,channelTitle,publishedAt
"UClFN9LShD_Pv0wnSeUKbUZw","That Little Puff + The Little Prince 🥰 #ThatLittlePuff #puffknowsbetter #shorts #EveryKiss","That Little Puff","2022-01-02T03:11:57Z"
"UC3J4Q1grz46bdJ7NJLd4DGw","Komputer Spec Dewa - Internet Cafe Simulator 2 Indonesia #6","MiawAug","2022-01-13T15:00:15Z"
"UCqv_Kk7LS-kuyU5Td74zr9A","PENJUAL BONEKA BOBA VS PENJUAL BT21 ! Sakit Perut Sampai Nangis Kejer","Nasya Kaila Nazifah","2022-01-10T06:29:00Z"
"UCER4rvDnRBPr_ncYW4UCZjg","Saling Sanggah Eggi VS Habib Kribo Terkait Surah Al Maidah, Eggi: Ngarang Aja Lu | CDK tvOne","tvOneNews ","2022-01-04T14:28:47Z"
"UCYk4LJI0Pr6RBDWowMm-KUw","SAYA BONGKAR SEMUA SIKSA GAG4 KE LAURA‼️- EXCLUSIVE - Greta Edelenyi /Deddy Corbuzier Podcast","Deddy Corbuzier","2021-12-30T04:20:00Z"
"UCiItEIDWUhb8ySYckd8hZZQ","Lentera","Lesti - Topic","2022-01-07T15:05:04Z"
"UCimE5Dg52XZ01jZUbzIo3qg","MELEPAS LAJANG","Arvian Dwi - Topic","2022-01-05T10:01:01Z"
"UCaQmWyRdzrgqdlAqtQO22ZQ","LAYANGAN PUTUS VS LAYANGAN PEGAT (PARODI)","DENNY CAGUR TV","2022-01-07T06:48:56Z"
"UCH4rKJCCJF3JUzHglcjjVEA","Bad Little Sister Doll Squid Game (Part 2) Ghost Return - Scary Teacher 3D Happy Ending","Ezxy Kingmo","2022-01-09T07:00:05Z"
"UCQAE_LtC27JofmxB5CXAPjA","LOL Sneaky Wife Pranks back! #shorts Funny Video By TikToMania","TikToMania","2022-01-10T08:00:06Z"
"UC3J4Q1grz46bdJ7NJLd4DGw","Upgrade Semuanya - Internet Cafe Simulator 2 Indonesia #5","MiawAug","2022-01-12T13:30:12Z"
"UC8D-THvzQRoZcNUgDjkTOow","Mukbang Edisi Kangen Subang + curcol","The Connell Twins","2022-01-07T16:58:26Z"
"UCLmV1K2SD80zYeIdMAwYDpA","Diadopsi Keluarga Squid Game | BONEKA Pengasuh | Game di Dunia Nyata oleh Game ala Dunia La La","Game Ala Dunia La La","2022-01-05T09:00:00Z"
"UCIWUnAI0GL4LDfCUeOOq7xg","GAK NYESEL BELI SG 2 LEGENDARY TERBARU!! DAMAGE SAMA STATISTIKNYA GAK WAJAR!!","efdewe","2022-01-08T09:46:59Z"
